,Unnamed: 0,latitude,longitude,timestamp,label,type,location_name,location_types,place_id,geometry,index_right,polygon_name,Description
0,0,37.9093471,-78.3332658,2025-01-27T09:51:00.000-05:00,Home,timelinePath,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3332658 37.9093471),2.0,Home,
1,1,37.9093471,-78.3332658,2025-01-27T10:01:00.000-05:00,Home,timelinePath,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3332658 37.9093471),2.0,Home,
2,2,37.9093753,-78.3333614,2025-01-27T09:51:00.000-05:00,Home,visit_start,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3333614 37.9093753),2.0,Home,
3,3,37.9093753,-78.3333614,2025-01-27T10:01:00.000-05:00,Home,visit_end,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3333614 37.9093753),2.0,Home,
4,4,37.9093753,-78.3333614,2025-01-27T10:01:00.000-05:00,Home,activity_start,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3333614 37.9093753),2.0,Home,
5,5,37.9093753,-78.3333614,2025-01-27T12:41:35.000-05:00,Home,activity_end,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3333614 37.9093753),2.0,Home,
6,6,37.9044454,-78.334887,2025-01-27T12:11:00.000-05:00,Home,timelinePath,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.334887 37.9044454),2.0,Home,
7,7,37.9037812,-78.3431914,2025-01-27T12:13:00.000-05:00,Home,timelinePath,"Lake Monticello, VA 22963, USA","locality, political",ChIJDb4p9W2Ns4kRXpzD4FEHVgc,POINT (-78.3431914 37.9037812),2.0,Home,
8,8,37.9549752,-78.3813195,2025-01-27T12:19:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.3813195 37.9549752),3.0,Driving/Commute,
9,9,37.9677778,-78.3865085,2025-01-27T12:20:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.3865085 37.9677778),3.0,Driving/Commute,
10,10,37.9712901,-78.400203,2025-01-27T12:21:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.400203 37.9712901),3.0,Driving/Commute,
11,11,37.9711735,-78.4121256,2025-01-27T12:21:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.4121256 37.9711735),3.0,Driving/Commute,
12,12,38.0079532,-78.4657386,2025-01-27T12:27:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.4657386 38.0079532),3.0,Driving/Commute,
13,13,38.0082523,-78.5083284,2025-01-27T12:32:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.5083284 38.0082523),3.0,Driving/Commute,
14,14,38.0138732,-78.5272934,2025-01-27T12:33:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.5272934 38.0138732),3.0,Driving/Commute,
15,15,38.0238004,-78.5310592,2025-01-27T12:34:00.000-05:00,Driving/Commute,timelinePath,,,,POINT (-78.5310592 38.0238004),3.0,Driving/Commute,
16,16,38.0275511,-78.5115993,2025-01-27T12:38:00.000-05:00,UNKNOWN,timelinePath,"Charlottesville, VA, USA","locality, political",ChIJj6RQ6i2Gs4kR_HSLw5bwhpA,POINT (-78.5115993 38.0275511),,,
17,17,38.0322561,-78.5096989,2025-01-27T12:40:00.000-05:00,Work,timelinePath,"University of Virginia, VA, USA","locality, political",ChIJdzcV_VeGs4kRWFCMy1s4jYg,POINT (-78.5096989 38.0322561),0.0,Work,
18,18,38.0280939,-78.5155274,2025-01-27T12:42:00.000-05:00,UNKNOWN,timelinePath,"Charlottesville, VA, USA","locality, political",ChIJj6RQ6i2Gs4kR_HSLw5bwhpA,POINT (-78.5155274 38.0280939),,,
19,19,38.0302911,-78.5146624,2025-01-27T12:47:00.000-05:00,UNKNOWN,timelinePath,"University of Virginia, VA, USA","locality, political",ChIJdzcV_VeGs4kRWFCMy1s4jYg,POINT (-78.5146624 38.0302911),,,
20,20,38.0309094,-78.5110661,2025-01-27T12:51:00.000-05:00,Work,timelinePath,"University of Virginia, VA, USA","locality, political",ChIJdzcV_VeGs4kRWFCMy1s4jYg,POINT (-78.5110661 38.0309094),0.0,Work,
21,21,38.0309094,-78.5110661,2025-01-27T12:41:35.000-05:00,Work,activity_start,"University of Virginia, VA, USA","locality, political",ChIJdzcV_VeGs4kRWFCMy1s4jYg,POINT (-78.5110661 38.0309094),0.0,Work,
